IDINDEX,LATITUDE,LONGITUDE,MASL,SECONDS,STEPLENGTH,DATETIME,TrailRank
1500269,-15.20615,-72.95052,2536.934,3,1.074647,2007/07/15 12:15:01+00,0
1500270,-15.20615,-72.95053,2536.707,3,3.910702,2007/07/15 12:15:04+00,0
1500271,-15.20613,-72.95056,2536.572,3,2.417601,2007/07/15 12:15:07+00,0
1500272,-15.20612,-72.95058,2536.83,3,2.417554,2007/07/15 12:15:10+00,0
1500273,-15.20611,-72.9506,2536.993,3,3.48986,2007/07/15 12:15:13+00,0
1500274,-15.20608,-72.95061,2537.641,3,2.149293,2007/07/15 12:15:16+00,0
1500275,-15.20608,-72.95063,2537.62,3,2.149394,2007/07/15 12:15:19+00,0
1500276,-15.20608,-72.95065,2537.367,3,1.542648,2007/07/15 12:15:22+00,0
1500277,-15.20607,-72.95066,2537.165,3,3.955212,2007/07/15 12:15:25+00,0
1500278,-15.20604,-72.95068,2537.234,3,2.460488,2007/07/15 12:15:28+00,0
1500279,-15.20602,-72.95069,2536.609,3,2.460621,2007/07/15 12:15:31+00,0
1500280,-15.206,-72.9507,2537.001,3,3.085293,2007/07/15 12:15:34+00,0
1500281,-15.20598,-72.95072,2538.233,3,2.213497,2007/07/15 12:15:37+00,0
1500282,-15.20596,-72.95072,2538.319,3,1.106648,2007/07/15 12:15:40+00,0
1500283,-15.20595,-72.95072,2538.093,3,0,2007/07/15 12:15:43+00,0
1500284,-15.20595,-72.95072,2537.995,3,1.074747,2007/07/15 12:15:46+00,0
1500285,-15.20595,-72.95073,2537.985,3,2.213497,2007/07/15 12:15:49+00,0
1500286,-15.20593,-72.95073,2538.687,3,2.460488,2007/07/15 12:15:52+00,0
1500287,-15.20591,-72.95074,2540.097,3,3.910783,2007/07/15 12:15:55+00,0
1500288,-15.20589,-72.95077,2541.216,3,2.460578,2007/07/15 12:15:58+00,0
1500289,-15.20587,-72.95078,2540.979,3,2.46053,2007/07/15 12:16:01+00,0
1500290,-15.20585,-72.95079,2540.851,3,3.955159,2007/07/15 12:16:04+00,0
1500291,-15.20582,-72.95081,2543.687,3,3.085365,2007/07/15 12:16:07+00,0
1500292,-15.2058,-72.95083,2545.826,3,3.320145,2007/07/15 12:16:10+00,0
1500293,-15.20577,-72.95083,2545.952,3,1.542648,2007/07/15 12:16:13+00,0
1500294,-15.20576,-72.95084,2546.988,3,2.417554,2007/07/15 12:16:16+00,0
1500295,-15.20575,-72.95086,2547.199,3,1.542648,2007/07/15 12:16:19+00,0
1500296,-15.20574,-72.95087,2547.179,3,3.910783,2007/07/15 12:16:22+00,0
1500297,-15.20572,-72.9509,2547.699,3,3.085293,2007/07/15 12:16:25+00,0
1500298,-15.2057,-72.95092,2548.895,3,3.910702,2007/07/15 12:16:28+00,0
1500299,-15.20568,-72.95095,2549.331,3,2.417601,2007/07/15 12:16:31+00,0
1500300,-15.20567,-72.95097,2548.766,3,2.417554,2007/07/15 12:16:34+00,0
1500301,-15.20566,-72.95099,2550.539,3,3.085293,2007/07/15 12:16:37+00,0
1500302,-15.20564,-72.95101,2551.003,3,1.542717,2007/07/15 12:16:40+00,0
1500303,-15.20563,-72.95102,2550.978,3,3.955159,2007/07/15 12:16:43+00,0
1500304,-15.2056,-72.95104,2551.247,3,2.213497,2007/07/15 12:16:46+00,0
1500305,-15.20558,-72.95104,2551.28,3,2.213397,2007/07/15 12:16:49+00,0
1500306,-15.20556,-72.95104,2551.259,3,2.213496,2007/07/15 12:16:52+00,0
1500307,-15.20554,-72.95104,2551.227,3,2.213397,2007/07/15 12:16:55+00,0
1500308,-15.20552,-72.95104,2551.198,3,3.489827,2007/07/15 12:16:58+00,0
1500309,-15.20549,-72.95103,2551.201,3,2.417509,2007/07/15 12:17:01+00,0
1500310,-15.20548,-72.95101,2551.208,3,3.085362,2007/07/15 12:17:04+00,0
1500311,-15.20546,-72.95099,2551.223,3,1.542645,2007/07/15 12:17:07+00,0
1500312,-15.20545,-72.95098,2551.276,3,2.417599,2007/07/15 12:17:10+00,0
1500313,-15.20544,-72.95096,2551.337,3,4.298688,2007/07/15 12:17:13+00,0
1500314,-15.20544,-72.95092,2551.906,3,1.542575,2007/07/15 12:17:16+00,0
1500315,-15.20543,-72.95093,2552.823,3,2.417509,2007/07/15 12:17:19+00,0
1500316,-15.20542,-72.95091,2552.962,3,1.542644,2007/07/15 12:17:22+00,0
1500317,-15.20543,-72.9509,2553.015,3,2.149394,2007/07/15 12:17:25+00,0
1500318,-15.20543,-72.95088,2552.987,3,2.149294,2007/07/15 12:17:28+00,0
1500319,-15.20543,-72.95086,2552.965,3,2.149393,2007/07/15 12:17:31+00,0
